 , Total, Hombre, Mujer
 Cuarto trimestre del 2014, 49026174|0.429523534140686|210578.955218762|, 30508273|0.474831758565379|144862.969193827|, 18517901|0.650834921145987|120520.966371242|
,,,
 Tercer trimestre del 2014, 48664784|0.447781953997039|217912.120703638|, 30332063|0.493196230660742|149596.591397641|, 18332721|0.670118926215795|122851.033111338|
,,,
 Segundo trimestre del 2014, 48505094|0.434592994049279|210799.740281017|, 30070634|0.480894743139476|144608.098134712|, 18434460|0.651677411725062|120133.211793492|
,,,
 Primer trimestre del 2014, 48272319|0.44254640048176|213627.410163573|, 29951085|0.489994647531635|146758.713377651|, 18321234|0.66175098826678|121240.947057669|
,,,
 Cuarto trimestre del 2013, 49118670|0.473120847339916|232390.667706097|, 30239447|0.519725540882837|157162.129480729|, 18879223|0.680277543594948|128431.114474212|
,,,
 Tercer trimestre del 2013, 48499708|0.521550286894094|252950.366216798|, 29889396|0.566124103062969|169211.075015939|, 18610312|0.723499091619684|134645.438267589|
,,,
 Segundo trimestre del 2013, 48481214|0.531363246587068|257611.352695224|, 29810665|0.564036718458783|168143.096616741|, 18670549|0.729975505563154|136290.434454166|
,,,
 Primer trimestre del 2013, 47548734|0.553252799797666|263064.702123345|, 29545691|0.610980403621992|180518.382124706|, 18003043|0.749719273877786|134972.283255506|
,,,
 Cuarto trimestre del 2012, 47994737|0.522206197275712|250631.490980179|, 29594434|0.578247958108607|171129.210318799|, 18400303|0.732685009184257|134816.261725481|
,,,
 Tercer trimestre del 2012, 48447625|0.496684527579397|240631.857354688|, 29922128|0.552928324411459|165447.920978652|, 18525497|0.705963592448435|130783.264140127|
,,,
 Segundo trimestre del 2012, 48174670|0.497634764540605|239733.905622714|, 29690582|0.562284959007535|166945.676827798|, 18484088|0.687776851630791|127129.278499065|
,,,
 Primer trimestre del 2012, 46928200|0.503360613026219|236218.07520217|, 29156178|0.582719540767984|169898.746547096|, 17772022|0.703054420810638|124946.986338439|
,,,
 Cuarto trimestre del 2011, 47495234|0.500463375774721|237696.251408503|, 29163256|0.554193016712169|161620.728197893|, 18331978|0.705244208267838|129285.213105934|
,,,
 Tercer trimestre del 2011, 46571990|0.496773271833134|231357.1984808|, 29098057|0.555567317987748|161659.294861446|, 17473933|0.724465061438694|126592.539444206|
,,,
 Segundo trimestre del 2011, 46115690|0.497824848543146|229575.363897127|, 28805750|0.551749519284676|158935.587151345|, 17309940|0.718966754787082|124452.713873591|
,,,
 Primer trimestre del 2011, 45254856|0.504801855506182|228447.352794651|, 28436561|0.552411511264455|157086.836371739|, 16818295|0.725226136707227|121970.671088525|
,,,
 Cuarto trimestre del 2010, 45166962|0.501401831521319|226467.974710538|, 28287003|0.547808502852738|154958.607636209|, 16879959|0.72472438886087|122333.179702715|
,,,
 Tercer trimestre del 2010, 45701118|0.509418369394415|232809.890110618|, 28492532|0.55612114457614|158452.995077123|, 17208586|0.74025124388581|127386.771920159|
,,,
 Segundo trimestre del 2010, 45841915|0.482474575417989|221175.584759725|, 28571712|0.531576964124597|151880.639248023|, 17270203|0.694937328870333|120017.087418684|
,,,
 Primer trimestre del 2010, 44720360|0.488707396552333|218551.707084831|, 27925470|0.537658575265606|150143.684138224|, 16794890|0.715414876304646|120153.141519001|
,,,
 Cuarto trimestre del 2009, 45558595|0.49871750397233|227208.687828863|, 28243649|0.544949020774213|153913.488656406|, 17314946|0.716657957198464|124088.938293617|
,,,
 Tercer trimestre del 2009, 44962042|0.494209055577065|222206.483136363|, 27850429|0.558490045517602|155541.873598947|, 17111613|0.701962587404047|120117.121361367|
,,,
 Segundo trimestre del 2009, 44242950|0.477520382434552|211269.104040328|, 27689530|0.539064304342245|149264.372270137|, 16553420|0.682134812731405|112916.640517643|
,,,
 Primer trimestre del 2009, 43837585|0.466355246950464|204438.87778387|, 27502264|0.510416761315867|140376.16519734|, 16335321|0.686593170152661|112157.198308513|
,,,
 Cuarto trimestre del 2008, 43998840|0.470156934652199|206863.597426526|, 27575254|0.513309698415894|141546.453144817|, 16423586|0.701283718905823|115175.934678496|
,,,
 Tercer trimestre del 2008, 44224459|0.480309084888671|212414.094319865|, 27789440|0.504275503147136|140135.338381772|, 16435019|0.730946114472605|120131.132793334|
,,,
 Segundo trimestre del 2008, 44462150|0.475599634072126|211461.8227006|, 27792156|0.504749666395901|140280.814694228|, 16669994|0.702901278903799|117173.601019187|
,,,
 Primer trimestre del 2008, 43852979|0.486055314987974|213149.73521006|, 27387288|0.523472430592118|143364.902166864|, 16465691|0.713013074523479|117402.529640636|
,,,
 Cuarto trimestre del 2007, 44445583|0.501948706609873|223094.029013717|, 27591124|0.530576658926289|146392.06387941|, 16854459|0.741801894661912|125026.696197015|
,,,
 Tercer trimestre del 2007, 43310496|0.481191709032467|208406.515892838|, 27108767|0.507832514478774|137667.133100292|, 16201729|0.737428580247365|119476.180140226|
,,,
 Segundo trimestre del 2007, 43245283|0.452740084736116|195788.730898573|, 27053104|0.506644558569685|137063.079340198|, 16192179|0.664204250485058|107549.141164149|
,,,
 Primer trimestre del 2007, 42717453|0.45707809195284|195252.119103251|, 26786676|0.504142408739787|135042.993607722|, 15930777|0.692396882950103|110304.203377732|
,,,
 Cuarto trimestre del 2006, 43109908|0.480852911599197|207295.247805735|, 26996701|0.520081658077458|140404.890187014|, 16113207|0.732369454503113|118008.206208857|
,,,
 Tercer trimestre del 2006, 42776447|0.473792900210295|202671.76884822|, 26825115|0.522778426813256|140235.914187847|, 15951332|0.691676262539173|110331.577002815|
,,,
 Segundo trimestre del 2006, 42351538|0.442311016848627|187325.518378832|, 26691557|0.491887741824277|131292.49698504|, 15659981|0.680412210317611|106552.422857418|
,,,
 Primer trimestre del 2006, 41870275|0.49067492217459|205446.939270537|, 26393613|0.530260831693292|139954.991807709|, 15476662|0.720908444319687|111572.563256816|
,,,
 Cuarto trimestre del 2005, 42863703|0.431427362380905|184925.743271685|, 26993388|0.482222135781416|130168.092133365|, 15870315|0.673303012678696|106855.309016599|
,,,
 Tercer trimestre del 2005, 42334898|0.45015081100124|190570.886683548|, 26777675|0.501346392737336|134248.907671427|, 15557223|0.703740557462075|109482.487865818|
,,,
 Segundo trimestre del 2005, 41676868|0.479884042029949|200000.638749886|, 26379882|0.521907878044919|137678.682376954|, 15296986|0.741256512793949|113389.904986179|
,,,
 Primer trimestre del 2005, 41441076|0.467096236409467|193569.706323587|, 26597801|0.495892724394637|131896.560007964|, 14843275|0.738126061224653|109562.081114244|
