 , Total, 15 a 19 años, 20 a 29 años, 30 a 39 años, 40 a 49 años, 50 a 59 años, 60 años y más, No especificado
 Primer trimestre del 2007, 42717453|0.45707809195284|195252.119103251|, 3628315|1.53080175881265|55542.3098352633|, 10418468|0.929053655199126|96793.1577697513|, 10751026|0.866493547823934|93156.9466148735|, 8997550|0.878040868422181|79002.1661567199|, 5518668|1.12746358169799|62220.9718948211|, 3381655|1.54266302549425|52167.5413347775|, 21771|21.9594153396537|4780.78431359601|
,,,,,,,,
 Cuarto trimestre del 2006, 43109908|0.480852911599197|207295.247805735|, 3738053|1.43907391964327|53793.3458254428|, 10552155|0.952424955402191|100501.35755272|, 10826280|0.875312369027487|94763.767945549|, 9079699|0.955616670798307|86767.1173023072|, 5432506|1.13556838287953|61689.8205340334|, 3461283|1.52480902681522|52777.9556276208|, 19932|20.6858572633405|4123.10506972903|
,,,,,,,,
 Tercer trimestre del 2006, 42776447|0.473792900210295|202671.76884822|, 3753466|1.50521956725689|56497.9046823346|, 10498262|0.953080227149697|100056.85931637|, 10770553|0.879588831563349|94736.5812856112|, 8988333|0.900892927997715|80975.2563418848|, 5321889|1.1501838172459|61211.5060497896|, 3425429|1.53149995492845|52460.4435911061|, 18515|21.781672768215|4032.87671303501|
,,,,,,,,
 Segundo trimestre del 2006, 42351538|0.442311016848627|187325.518378832|, 3676353|1.47347861553316|54170.2752865117|, 10358030|0.910837193910494|94344.7897964071|, 10759861|0.879212700215794|94602.0644375661|, 8849259|0.883183870798594|78155.2281731929|, 5273485|1.14192272826205|60219.1237864898|, 3415891|1.44512117990023|49363.7643233056|, 18659|20.9278963008891|3904.93617078289|
,,,,,,,,
 Primer trimestre del 2006, 41870275|0.49067492217459|205446.939270537|, 3557123|1.54355876877706|54906.2839826857|, 10212134|0.923011151284222|94259.1356040875|, 10833273|0.995758530818124|107873.240064316|, 8657599|0.9089795500498|78695.804435316|, 5194543|1.14012057616866|59224.053580929|, 3394318|1.5136822161239|51379.1879246926|, 21285|19.9789068409044|4252.5103210865|
,,,,,,,,
 Cuarto trimestre del 2005, 42863703|0.431427362380905|184925.743271685|, 3768863|1.45849317384015|54968.6095863869|, 10599516|0.906321523592491|96065.6949046298|, 10864900|0.890500588769825|96751.9984692528|, 8845986|0.852213794807101|75386.7129787048|, 5272819|1.16845685426888|61610.6150186917|, 3494764|1.56815534705044|54803.3285327937|, 16855|19.8658407807451|3348.38746359459|
,,,,,,,,
 Tercer trimestre del 2005, 42334898|0.45015081100124|190570.886683548|, 3822004|1.49453301716375|57121.111697319|, 10397559|0.932387106647731|96945.4995220907|, 10709417|0.902181653252762|96618.3953443323|, 8745991|0.897282948039227|78476.2858800454|, 5171940|1.15621179008252|59798.580055994|, 3467752|1.58233652230471|54871.5063989519|, 20235|17.0978487009809|3459.74968464348|
,,,,,,,,
 Segundo trimestre del 2005, 41676868|0.479884042029949|200000.638749886|, 3620189|1.56646753044267|56709.0852256573|, 10366230|0.935678544059176|96994.5899378255|, 10618884|0.928528128627904|98599.3248863679|, 8571528|0.91338928150939|78291.4180135762|, 5151146|1.15796213619013|59648.3202598724|, 3333231|1.60261180848047|53418.7536099318|, 15660|19.4409890916784|3044.45889175684|
,,,,,,,,
 Primer trimestre del 2005, 41441076|0.467096236409467|193569.706323587|, 3702656|1.4948942184912|55350.7904746177|, 10413338|0.93147037828713|96997.1588609175|, 10449539|0.89887281097772|93928.0649435131|, 8504957|0.895998582321044|76204.2941470144|, 5070254|1.14359837359188|57983.3422809775|, 3290486|1.62849143867269|53585.2828007235|, 9846|24.963594612471|2457.9155255439|
