 , Total, 15 a 19 años, 20 a 29 años, 30 a 39 años, 40 a 49 años, 50 a 59 años, 60 años y más, No especificado
 Cuarto trimestre del 2020, 53124071|0.570465807250438|303054.660474446|, 2989338|2.23552362656049|66827.3572677509|, 11700843|1.24794263690878|146019.808674757|, 12499190|1.19344933195185|149171.499554392|, 11915762|1.16176689100569|138433.377727038|, 8893459|1.45130773821524|129071.458661999|, 5086319|1.8264572455511|92899.4419073421|, 39160|13.4395644086498|5262.93342242726|
,,,,,,,,
 Tercer trimestre del 2020, 50810713|0.676875545932532|343925.291010962|, 2820652|2.75553113153096|77723.9439721506|, 11158135|1.49254122193034|166539.764473636|, 12391583|1.57454417387529|195110.94817742|, 11327681|1.4454722193979|163738.481957014|, 8368866|1.64697229458837|137832.904391226|, 4714873|2.25928079525592|106522.220209707|, 28923|18.9047463449509|5467.81978535014|
,,,,,,,,
 Primer trimestre del 2020, 55058450|0.457541299528807|251915.147630419|, 3110790|1.73661885690645|54022.5657387601|, 12364278|0.925513369379961|114433.045917305|, 12713190|0.889480658302227|113081.366103213|, 12301678|0.862865621427472|106146.950320707|, 8901293|0.98239318155814|87445.695502512|, 5630098|1.25682406036249|70760.4262859872|, 37123|15.1149093122302|5611.10778397922|
,,,,,,,,
 Cuarto trimestre del 2019, 55345261|0.457361119471787|253127.705284182|, 3257461|1.6669198283394|54299.2633094228|, 12451547|0.920178331868448|114576.437476416|, 12652260|0.856074420704666|108312.761501048|, 12454182|0.897104415352991|111727.016618097|, 8848225|0.982890410840618|86968.3550546022|, 5638313|1.24159440941064|70004.9789930732|, 43273|16.0418476359174|6941.78872749054|
,,,,,,,,
 Tercer trimestre del 2019, 54848407|0.454051074150386|249039.781137876|, 3392539|1.62895628348922|55262.9772103222|, 12321542|0.928178694027245|114365.927619618|, 12475136|0.873475531428738|108967.260472458|, 12336563|0.851999424345873|105107.445744066|, 8776935|0.961301167074076|84372.7785883331|, 5504922|1.23414369138046|67938.6475784149|, 40770|15.7604968779692|6425.55457714803|
,,,,,,,,
 Segundo trimestre del 2019, 54549769|0.448127190000236|244452.34697132|, 3292037|1.70171157672313|56020.9747390088|, 12374253|0.911483835932275|112789.315912365|, 12543725|0.88512756081734|111027.967128135|, 12219792|0.824087175181925|100701.738705907|, 8695691|0.976014245030098|84871.1828638001|, 5372589|1.29570872615756|69613.1044935812|, 51682|16.1690028905717|8356.46407390526|
,,,,,,,,
 Primer trimestre del 2019, 53714758|0.438505278144085|235542.048972322|, 3160002|1.73476939542069|54818.7475906816|, 11980925|0.907771398295825|108759.410401274|, 12443730|0.865386924480021|107686.412337598|, 12245496|0.824109788411531|100916.331175543|, 8673137|0.912441199249143|79137.2752553211|, 5150150|1.27202469203379|65511.1796767783|, 61318|16.4378051281921|10079.3333485048|
,,,,,,,,
 Cuarto trimestre del 2018, 53705872|0.445982027554189|239518.536861258|, 3253970|1.73709642043955|56524.5963921769|, 12089907|0.903712589216788|109258.011583602|, 12516241|0.878486641687915|109953.505226466|, 12069513|0.824018512006404|99455.0214290195|, 8568966|0.958614781323018|82143.3746825437|, 5140470|1.30584629900014|67126.6372462126|, 66805|17.6057003501458|11761.4881189149|
,,,,,,,,
 Tercer trimestre del 2018, 53483093|0.453001555282278|242279.243103067|, 3255600|1.73740757415495|56563.0409841884|, 12170665|0.917666470353524|111686.111924052|, 12266484|0.901036210624697|110525.462610485|, 12078440|0.8419654857961|101696.296022591|, 8593308|0.969721395306924|83331.1462406215|, 5065490|1.28817402073671|65252.3262030162|, 53106|15.2450192941668|8096.01994636022|
,,,,,,,,
 Segundo trimestre del 2018, 53205163|0.446727176829392|237681.922597376|, 3147974|1.66568354982717|52435.2850708365|, 12174905|0.902412529639319|109867.868191684|, 12250326|0.870450660132231|106633.04353535|, 12142331|0.868308615806479|105432.906232741|, 8465251|1.01511849245255|85932.3283335244|, 4974344|1.31288869929891|65307.6002402535|, 50032|18.1159228943893|9063.75854252086|
,,,,,,,,
 Primer trimestre del 2018, 52253036|0.441639654858486|230770.127843481|, 3060005|1.63650623569828|50077.1726376791|, 11843661|0.903192154829643|106971.016996618|, 12108417|0.888733307340735|107611.534870708|, 11918003|0.878568028485845|104707.763991984|, 8413065|1.01442103053895|85343.9006729115|, 4868211|1.31429531474233|63982.6690847709|, 41674|15.2094794010525|6338.39844559463|
,,,,,,,,
 Cuarto trimestre del 2017, 52222742|0.442264813773004|230962.812653457|, 3255352|1.68306241247478|54789.6059057461|, 12004907|0.90869996772213|109088.586034072|, 12111327|0.871574023337945|105559.180013515|, 11795926|0.852684721858006|100582.058803676|, 8154121|1.00153762755359|81666.590011249|, 4853777|1.38463979878165|67207.3280861101|, 47332|16.1420922305848|7640.37509458039|
,,,,,,,,
 Tercer trimestre del 2017, 51796924|0.432620508487366|224084.115989615|, 3152435|1.65524012130298|52180.3689179976|, 11910098|0.896238999503296|106742.943155062|, 12073840|0.865718486933712|104525.464962797|, 11722319|0.834834445074436|97861.9567735052|, 8029773|0.98908144720312|79420.9949955254|, 4871094|1.33033516313684|64801.8763114489|, 37365|16.1865537408976|6048.10580528638|
,,,,,,,,
 Segundo trimestre del 2017, 51529417|0.410550626374514|211554.344260635|, 3068504|1.74515737948916|53550.2239959201|, 11853269|0.884649105641855|104859.838197823|, 12222791|0.820093726202053|100238.342157789|, 11566567|0.806389804464902|93271.6170146019|, 7997456|0.946130620311117|75666.3800619087|, 4787947|1.30704454701563|62580.6001774985|, 32883|16.8657479217559|5545.96388911099|
,,,,,,,,
 Primer trimestre del 2017, 51172034|0.432264093386669|221198.328837618|, 2990001|1.72273359097441|51509.7515974707|, 11761321|0.89944967569399|105787.163591829|, 12279933|0.842428103989742|103449.606743111|, 11526287|0.795916051215833|91739.5683422039|, 7877854|0.971673512951913|76547.0207070228|, 4711190|1.32486498625978|62416.9067461721|, 25448|16.7453275498821|4261.35095489399|
,,,,,,,,
 Cuarto trimestre del 2016, 51414185|0.427984514705291|220044.750161931|, 3080877|1.76271000541114|54306.9271334106|, 11862006|0.907256549593587|107618.826348184|, 12327313|0.83084947516734|102421.415362735|, 11521014|0.785720830117636|90523.0068387691|, 7882131|1.01197878027057|79765.4931531282|, 4716363|1.27825425343485|60287.1106549273|, 24481|19.1486497770225|4687.78095191287|
,,,,,,,,
 Tercer trimestre del 2016, 51320394|0.432558202438057|221990.573770529|, 3230079|1.68840890782025|54536.9415656313|, 11842444|0.896710887253744|106192.484664928|, 12294019|0.826400065198656|101597.781031535|, 11440200|0.794819502232785|90928.9406944351|, 7775811|1.00641272666695|78256.7515055683|, 4716083|1.34051338394019|63219.7238127283|, 21758|21.6704816137516|4715.06338952008|
,,,,,,,,
