states_name,period_of_kind_loan,amount_outstanding_as_of_survey_date,source_of_kind_loan_doctor lawyers and other professionals,source_of_kind_loan_input supplier,source_of_kind_loan_other,source_of_kind_loan_relatives & friends
Uttar Pradesh,4.0,3400,0,0,1,0
Uttar Pradesh,,3400,0,0,0,0
Uttar Pradesh,3.0,1700,0,1,0,0
Uttar Pradesh,,1700,0,0,0,0
Uttar Pradesh,5.0,4500,0,0,1,0
Uttar Pradesh,,4500,0,0,0,0
Uttar Pradesh,5.0,40000,0,0,1,0
Uttar Pradesh,,40000,0,0,0,0
Uttar Pradesh,2.0,11000,0,0,1,0
Uttar Pradesh,,11000,0,0,0,0
Uttar Pradesh,2.0,4200,0,0,0,1
Uttar Pradesh,,4200,0,0,0,0
Uttar Pradesh,5.0,10000,0,0,1,0
Uttar Pradesh,5.0,7000,0,0,1,0
Uttar Pradesh,,17000,0,0,0,0
Uttar Pradesh,5.0,14400,0,1,0,0
Uttar Pradesh,,14400,0,0,0,0
Uttar Pradesh,5.0,10400,0,1,0,0
Uttar Pradesh,,10400,0,0,0,0
Uttar Pradesh,4.0,4800,0,1,0,0
Uttar Pradesh,,4800,0,0,0,0
Uttar Pradesh,3.0,4000,0,0,1,0
Uttar Pradesh,,4000,0,0,0,0
Uttar Pradesh,3.0,3000,0,0,1,0
Uttar Pradesh,,3000,0,0,0,0
Uttar Pradesh,4.0,4000,0,0,1,0
Uttar Pradesh,,4000,0,0,0,0
Uttar Pradesh,5.0,28000,0,0,1,0
Uttar Pradesh,,28000,0,0,0,0
Uttar Pradesh,5.0,25000,0,1,0,0
Uttar Pradesh,5.0,7000,0,1,0,0
Uttar Pradesh,,32000,0,0,0,0
Uttar Pradesh,3.0,12000,0,0,1,0
Uttar Pradesh,4.0,12000,0,1,0,0
Uttar Pradesh,,24000,0,0,0,0
Uttar Pradesh,5.0,25000,0,0,1,0
Uttar Pradesh,4.0,2000,1,0,0,0
Uttar Pradesh,,27000,0,0,0,0
Uttar Pradesh,5.0,12000,0,0,1,0
Uttar Pradesh,,12000,0,0,0,0
Uttar Pradesh,4.0,5000,0,0,1,0
Uttar Pradesh,,5000,0,0,0,0
Uttar Pradesh,5.0,10000,0,1,0,0
Uttar Pradesh,5.0,5000,0,1,0,0
Uttar Pradesh,,15000,0,0,0,0
Uttar Pradesh,5.0,50000,0,1,0,0
Uttar Pradesh,,50000,0,0,0,0
Uttar Pradesh,2.0,30000,0,1,0,0
Uttar Pradesh,2.0,10000,0,1,0,0
Uttar Pradesh,,40000,0,0,0,0
Uttar Pradesh,5.0,20000,0,1,0,0
Uttar Pradesh,,20000,0,0,0,0
Uttar Pradesh,5.0,60000,0,1,0,0
Uttar Pradesh,,60000,0,0,0,0
Uttar Pradesh,5.0,10000,0,1,0,0
Uttar Pradesh,,10000,0,0,0,0
Uttar Pradesh,5.0,100000,0,1,0,0
Uttar Pradesh,3.0,6000,0,1,0,0
Uttar Pradesh,,106000,0,0,0,0
Uttar Pradesh,5.0,50000,0,1,0,0
Uttar Pradesh,2.0,4000,0,1,0,0
Uttar Pradesh,,54000,0,0,0,0
Uttar Pradesh,3.0,40000,0,0,0,1
Uttar Pradesh,,40000,0,0,0,0
Uttar Pradesh,4.0,16000,0,0,1,0
Uttar Pradesh,,16000,0,0,0,0
Uttar Pradesh,5.0,55000,0,1,0,0
Uttar Pradesh,,55000,0,0,0,0
Uttar Pradesh,5.0,26011,0,0,1,0
Uttar Pradesh,,26011,0,0,0,0
Uttar Pradesh,5.0,50000,0,1,0,0
Uttar Pradesh,,50000,0,0,0,0
Uttar Pradesh,5.0,37000,0,0,1,0
Uttar Pradesh,5.0,30000,0,0,1,0
Uttar Pradesh,,67000,0,0,0,0
Uttar Pradesh,5.0,18000,0,1,0,0
Uttar Pradesh,5.0,68000,0,1,0,0
Uttar Pradesh,,86000,0,0,0,0
Uttar Pradesh,5.0,8000,0,0,1,0
Uttar Pradesh,5.0,14000,0,0,1,0
Uttar Pradesh,,22000,0,0,0,0
Uttar Pradesh,5.0,15000,0,1,0,0
Uttar Pradesh,,15000,0,0,0,0
Uttar Pradesh,5.0,17000,0,1,0,0
Uttar Pradesh,,17000,0,0,0,0
Uttar Pradesh,5.0,50000,0,1,0,0
Uttar Pradesh,5.0,30000,0,1,0,0
Uttar Pradesh,,80000,0,0,0,0
Uttar Pradesh,5.0,20000,0,0,1,0
Uttar Pradesh,,20000,0,0,0,0
Uttar Pradesh,5.0,23000,0,1,0,0
Uttar Pradesh,,23000,0,0,0,0
Uttar Pradesh,4.0,8000,0,1,0,0
Uttar Pradesh,4.0,6000,0,1,0,0
Uttar Pradesh,,14000,0,0,0,0
Uttar Pradesh,5.0,26000,0,1,0,0
Uttar Pradesh,,26000,0,0,0,0
Uttar Pradesh,1.0,10000,0,0,1,0
Uttar Pradesh,,10000,0,0,0,0
Uttar Pradesh,5.0,55000,0,0,1,0
Uttar Pradesh,5.0,70000,0,0,1,0
Uttar Pradesh,,125000,0,0,0,0
Uttar Pradesh,3.0,10000,0,0,1,0
Uttar Pradesh,4.0,15000,0,1,0,0
Uttar Pradesh,,25000,0,0,0,0
Uttar Pradesh,5.0,21000,0,0,1,0
Uttar Pradesh,4.0,10000,0,1,0,0
Uttar Pradesh,,31000,0,0,0,0
Uttar Pradesh,5.0,8000,0,1,0,0
Uttar Pradesh,,8000,0,0,0,0
Uttar Pradesh,4.0,10000,0,0,1,0
Uttar Pradesh,,10000,0,0,0,0
Uttar Pradesh,3.0,4500,0,0,1,0
Uttar Pradesh,,4500,0,0,0,0
Uttar Pradesh,3.0,12000,0,1,0,0
Uttar Pradesh,4.0,9000,0,1,0,0
Uttar Pradesh,4.0,9000,1,0,0,0
Uttar Pradesh,,30000,0,0,0,0
Uttar Pradesh,5.0,19000,0,0,1,0
Uttar Pradesh,,19000,0,0,0,0
Uttar Pradesh,5.0,10000,0,0,1,0
Uttar Pradesh,3.0,1000,0,1,0,0
Uttar Pradesh,,11000,0,0,0,0
Uttar Pradesh,5.0,3622,0,0,1,0
Uttar Pradesh,,3622,0,0,0,0
Uttar Pradesh,3.0,2500,0,0,1,0
Uttar Pradesh,4.0,3000,1,0,0,0
Uttar Pradesh,4.0,2000,0,1,0,0
Uttar Pradesh,,7500,0,0,0,0
Uttar Pradesh,5.0,10000,0,1,0,0
Uttar Pradesh,,10000,0,0,0,0
Uttar Pradesh,5.0,16000,0,1,0,0
Uttar Pradesh,,16000,0,0,0,0
Uttar Pradesh,5.0,10000,0,1,0,0
Uttar Pradesh,,10000,0,0,0,0
Uttar Pradesh,5.0,9000,0,1,0,0
Uttar Pradesh,,9000,0,0,0,0
Uttar Pradesh,3.0,7500,0,1,0,0
Uttar Pradesh,,7500,0,0,0,0
Uttar Pradesh,2.0,5000,1,0,0,0
Uttar Pradesh,,5000,0,0,0,0
Uttar Pradesh,2.0,4000,0,0,1,0
Uttar Pradesh,,4000,0,0,0,0
Uttar Pradesh,4.0,3500,0,0,1,0
Uttar Pradesh,,3500,0,0,0,0
Uttar Pradesh,5.0,6500,0,0,1,0
Uttar Pradesh,,6500,0,0,0,0
Uttar Pradesh,4.0,10000,0,0,1,0
Uttar Pradesh,,10000,0,0,0,0
Uttar Pradesh,5.0,3500,0,0,1,0
Uttar Pradesh,,3500,0,0,0,0
Uttar Pradesh,4.0,6000,0,0,1,0
Uttar Pradesh,,6000,0,0,0,0
Uttar Pradesh,4.0,6500,0,1,0,0
Uttar Pradesh,,6500,0,0,0,0
Uttar Pradesh,2.0,16800,0,1,0,0
Uttar Pradesh,,16800,0,0,0,0
Uttar Pradesh,4.0,9600,0,1,0,0
Uttar Pradesh,,9600,0,0,0,0
Uttar Pradesh,3.0,3500,0,1,0,0
Uttar Pradesh,,3500,0,0,0,0
Uttar Pradesh,4.0,4000,0,1,0,0
Uttar Pradesh,,4000,0,0,0,0
Uttar Pradesh,3.0,3000,0,1,0,0
Uttar Pradesh,,3000,0,0,0,0
Uttar Pradesh,1.0,1000,0,1,0,0
Uttar Pradesh,,1000,0,0,0,0
Uttar Pradesh,5.0,18000,0,1,0,0
Uttar Pradesh,,18000,0,0,0,0
Uttar Pradesh,2.0,2000,0,1,0,0
Uttar Pradesh,,2000,0,0,0,0
Uttar Pradesh,4.0,5500,0,0,1,0
Uttar Pradesh,,5500,0,0,0,0
Uttar Pradesh,4.0,8500,0,0,1,0
Uttar Pradesh,,8500,0,0,0,0
Uttar Pradesh,4.0,3600,0,0,1,0
Uttar Pradesh,,3600,0,0,0,0
Uttar Pradesh,4.0,3000,0,0,1,0
Uttar Pradesh,,3000,0,0,0,0
Uttar Pradesh,2.0,5000,0,0,1,0
Uttar Pradesh,,5000,0,0,0,0
Uttar Pradesh,3.0,2500,0,0,1,0
Uttar Pradesh,,2500,0,0,0,0
Uttar Pradesh,3.0,3800,0,0,1,0
Uttar Pradesh,,3800,0,0,0,0
Uttar Pradesh,4.0,75000,0,1,0,0
Uttar Pradesh,,75000,0,0,0,0
Uttar Pradesh,2.0,1500,0,1,0,0
Uttar Pradesh,,1500,0,0,0,0
Uttar Pradesh,5.0,5000,0,1,0,0
Uttar Pradesh,,5000,0,0,0,0
Uttar Pradesh,5.0,3000,0,1,0,0
Uttar Pradesh,,3000,0,0,0,0
Uttar Pradesh,5.0,30000,0,1,0,0
Uttar Pradesh,,30000,0,0,0,0
Uttar Pradesh,4.0,100000,0,1,0,0
Uttar Pradesh,,100000,0,0,0,0
Uttar Pradesh,2.0,850,0,1,0,0
Uttar Pradesh,,850,0,0,0,0
Uttar Pradesh,1.0,1300,0,1,0,0
Uttar Pradesh,,1300,0,0,0,0
Uttar Pradesh,2.0,856,0,1,0,0
Uttar Pradesh,,856,0,0,0,0
Uttar Pradesh,5.0,30000,0,1,0,0
Uttar Pradesh,,30000,0,0,0,0
Uttar Pradesh,5.0,42000,0,0,1,0
Uttar Pradesh,,42000,0,0,0,0
Uttar Pradesh,2.0,1350,0,1,0,0
Uttar Pradesh,,1350,0,0,0,0
Uttar Pradesh,2.0,2500,0,1,0,0
Uttar Pradesh,,2500,0,0,0,0
Uttar Pradesh,4.0,5000,0,0,0,1
Uttar Pradesh,3.0,1000,0,1,0,0
Uttar Pradesh,,6000,0,0,0,0
Uttar Pradesh,3.0,750,0,1,0,0
Uttar Pradesh,,750,0,0,0,0
Uttar Pradesh,5.0,1500,0,0,1,0
Uttar Pradesh,,1500,0,0,0,0
Uttar Pradesh,2.0,750,0,1,0,0
Uttar Pradesh,,750,0,0,0,0
Uttar Pradesh,2.0,700,0,1,0,0
Uttar Pradesh,,700,0,0,0,0
Uttar Pradesh,2.0,2100,0,0,1,0
Uttar Pradesh,,2100,0,0,0,0
Uttar Pradesh,1.0,1700,0,0,1,0
Uttar Pradesh,,1700,0,0,0,0
Uttar Pradesh,3.0,25000,0,0,1,0
Uttar Pradesh,,25000,0,0,0,0
Uttar Pradesh,4.0,50000,0,0,0,1
Uttar Pradesh,,50000,0,0,0,0
Uttar Pradesh,3.0,12000,0,0,0,1
Uttar Pradesh,,12000,0,0,0,0
Uttar Pradesh,3.0,10000,0,1,0,0
Uttar Pradesh,,10000,0,0,0,0
Uttar Pradesh,1.0,1050,0,1,0,0
Uttar Pradesh,,1050,0,0,0,0
Uttar Pradesh,4.0,25000,0,1,0,0
Uttar Pradesh,,25000,0,0,0,0
Uttar Pradesh,4.0,2000,0,1,0,0
Uttar Pradesh,,2000,0,0,0,0
Uttar Pradesh,1.0,4500,0,1,0,0
Uttar Pradesh,,4500,0,0,0,0
Uttar Pradesh,4.0,15000,0,1,0,0
Uttar Pradesh,,15000,0,0,0,0
Uttar Pradesh,3.0,13000,0,1,0,0
Uttar Pradesh,,13000,0,0,0,0
Uttar Pradesh,5.0,35700,0,1,0,0
Uttar Pradesh,,35700,0,0,0,0
Uttar Pradesh,4.0,2500,0,1,0,0
Uttar Pradesh,,2500,0,0,0,0
Uttar Pradesh,5.0,16000,0,1,0,0
Uttar Pradesh,,16000,0,0,0,0
Uttar Pradesh,5.0,14000,0,1,0,0
Uttar Pradesh,,14000,0,0,0,0
Uttar Pradesh,2.0,1100,0,1,0,0
Uttar Pradesh,,1100,0,0,0,0
Uttar Pradesh,4.0,500,0,0,1,0
Uttar Pradesh,,500,0,0,0,0
Uttar Pradesh,4.0,2100,0,1,0,0
Uttar Pradesh,,2100,0,0,0,0
Uttar Pradesh,5.0,5000,0,0,1,0
Uttar Pradesh,,5000,0,0,0,0
Uttar Pradesh,5.0,8000,0,0,1,0
Uttar Pradesh,5.0,1500,0,0,1,0
Uttar Pradesh,,9500,0,0,0,0
Uttar Pradesh,3.0,10000,0,0,1,0
Uttar Pradesh,,10000,0,0,0,0
Uttar Pradesh,5.0,2600,0,0,1,0
Uttar Pradesh,,2600,0,0,0,0
Uttar Pradesh,4.0,4000,0,1,0,0
Uttar Pradesh,,4000,0,0,0,0
Uttar Pradesh,3.0,1000,0,0,1,0
Uttar Pradesh,,1000,0,0,0,0
Uttar Pradesh,5.0,10000,0,1,0,0
Uttar Pradesh,,10000,0,0,0,0
Uttar Pradesh,5.0,35000,0,0,1,0
Uttar Pradesh,,35000,0,0,0,0
Uttar Pradesh,5.0,150000,0,0,1,0
Uttar Pradesh,,150000,0,0,0,0
Uttar Pradesh,5.0,18000,0,0,1,0
Uttar Pradesh,,18000,0,0,0,0
Uttar Pradesh,1.0,110,0,0,1,0
Uttar Pradesh,,110,0,0,0,0
Uttar Pradesh,3.0,2700,0,1,0,0
Uttar Pradesh,,2700,0,0,0,0
Uttar Pradesh,3.0,800,0,1,0,0
Uttar Pradesh,,800,0,0,0,0
Uttar Pradesh,3.0,3000,0,1,0,0
Uttar Pradesh,,3000,0,0,0,0
Uttar Pradesh,2.0,30000,0,1,0,0
Uttar Pradesh,,30000,0,0,0,0
Uttar Pradesh,5.0,3250,0,0,1,0
Uttar Pradesh,,3250,0,0,0,0
Uttar Pradesh,5.0,3250,0,0,1,0
Uttar Pradesh,,3250,0,0,0,0
Uttar Pradesh,5.0,2800,0,0,1,0
Uttar Pradesh,,2800,0,0,0,0
Uttar Pradesh,5.0,2700,0,0,1,0
Uttar Pradesh,,2700,0,0,0,0
Uttar Pradesh,5.0,4000,0,0,1,0
Uttar Pradesh,,4000,0,0,0,0
Uttar Pradesh,5.0,2400,0,0,1,0
Uttar Pradesh,,2400,0,0,0,0
Uttar Pradesh,5.0,1850,0,0,1,0
Uttar Pradesh,,1850,0,0,0,0
Uttar Pradesh,5.0,21718,0,0,1,0
Uttar Pradesh,4.0,1000,0,0,1,0
Uttar Pradesh,,22718,0,0,0,0
Uttar Pradesh,3.0,15000,0,1,0,0
Uttar Pradesh,5.0,25000,0,0,1,0
Uttar Pradesh,,40000,0,0,0,0
Uttar Pradesh,3.0,10000,0,1,0,0
Uttar Pradesh,3.0,10000,0,0,1,0
Uttar Pradesh,,20000,0,0,0,0
Uttar Pradesh,1.0,5000,1,0,0,0
Uttar Pradesh,,5000,0,0,0,0
Uttar Pradesh,4.0,3000,0,1,0,0
Uttar Pradesh,,3000,0,0,0,0
Uttar Pradesh,5.0,4800,0,0,1,0
Uttar Pradesh,,4800,0,0,0,0
Uttar Pradesh,3.0,1000,0,1,0,0
Uttar Pradesh,,1000,0,0,0,0
Uttar Pradesh,3.0,450,0,1,0,0
Uttar Pradesh,,450,0,0,0,0
Uttar Pradesh,5.0,19000,0,1,0,0
Uttar Pradesh,,19000,0,0,0,0
Uttar Pradesh,5.0,65000,0,0,1,0
Uttar Pradesh,,65000,0,0,0,0
Uttar Pradesh,2.0,700,0,0,1,0
Uttar Pradesh,,700,0,0,0,0
Uttar Pradesh,5.0,14000,0,0,1,0
Uttar Pradesh,,14000,0,0,0,0
Uttar Pradesh,5.0,20000,0,0,1,0
Uttar Pradesh,,20000,0,0,0,0
Uttar Pradesh,3.0,800,0,0,1,0
Uttar Pradesh,,800,0,0,0,0
Uttar Pradesh,5.0,20000,0,0,1,0
Uttar Pradesh,,20000,0,0,0,0
Uttar Pradesh,5.0,125000,0,0,1,0
Uttar Pradesh,,125000,0,0,0,0
Uttar Pradesh,5.0,70000,0,0,1,0
Uttar Pradesh,,70000,0,0,0,0
Uttar Pradesh,2.0,228,0,0,1,0
Uttar Pradesh,,228,0,0,0,0
Uttar Pradesh,5.0,7337,0,0,1,0
Uttar Pradesh,,7337,0,0,0,0
Uttar Pradesh,4.0,5000,0,1,0,0
Uttar Pradesh,3.0,3500,0,1,0,0
Uttar Pradesh,,8500,0,0,0,0
Uttar Pradesh,3.0,2659,0,0,1,0
Uttar Pradesh,,2659,0,0,0,0
Uttar Pradesh,1.0,1800,0,1,0,0
Uttar Pradesh,,1800,0,0,0,0
Uttar Pradesh,1.0,1500,0,1,0,0
Uttar Pradesh,,1500,0,0,0,0
Uttar Pradesh,3.0,8350,0,1,0,0
Uttar Pradesh,,8350,0,0,0,0
Uttar Pradesh,2.0,3000,0,1,0,0
Uttar Pradesh,3.0,3000,0,1,0,0
Uttar Pradesh,,6000,0,0,0,0
Uttar Pradesh,1.0,1200,0,1,0,0
Uttar Pradesh,,1200,0,0,0,0
Uttar Pradesh,1.0,800,0,1,0,0
Uttar Pradesh,,800,0,0,0,0
Uttar Pradesh,1.0,3300,0,1,0,0
Uttar Pradesh,,3300,0,0,0,0
Uttar Pradesh,5.0,10800,0,1,0,0
Uttar Pradesh,,10800,0,0,0,0
Uttar Pradesh,5.0,5000,0,1,0,0
Uttar Pradesh,,5000,0,0,0,0
Uttar Pradesh,3.0,14600,0,1,0,0
Uttar Pradesh,,14600,0,0,0,0
Uttar Pradesh,1.0,1500,0,1,0,0
Uttar Pradesh,,1500,0,0,0,0
Uttar Pradesh,2.0,900,0,0,0,1
Uttar Pradesh,,900,0,0,0,0
Uttar Pradesh,2.0,580,0,1,0,0
Uttar Pradesh,,580,0,0,0,0
Uttar Pradesh,3.0,650,0,1,0,0
Uttar Pradesh,,650,0,0,0,0
Uttar Pradesh,4.0,4500,0,1,0,0
Uttar Pradesh,,4500,0,0,0,0
Uttar Pradesh,1.0,670,0,1,0,0
Uttar Pradesh,,670,0,0,0,0
Uttar Pradesh,1.0,1260,0,1,0,0
Uttar Pradesh,,1260,0,0,0,0
Uttar Pradesh,4.0,1756,0,0,0,1
Uttar Pradesh,,1756,0,0,0,0
Uttar Pradesh,4.0,6000,0,1,0,0
Uttar Pradesh,,6000,0,0,0,0
Uttar Pradesh,3.0,560,0,0,0,1
Uttar Pradesh,,560,0,0,0,0
Uttar Pradesh,5.0,45000,0,0,1,0
Uttar Pradesh,,45000,0,0,0,0
Uttar Pradesh,4.0,540,0,0,0,1
Uttar Pradesh,,540,0,0,0,0
Uttar Pradesh,3.0,800,0,1,0,0
Uttar Pradesh,,800,0,0,0,0
Uttar Pradesh,5.0,11500,0,0,0,1
Uttar Pradesh,,11500,0,0,0,0
Uttar Pradesh,4.0,3000,0,1,0,0
Uttar Pradesh,,3000,0,0,0,0
Uttar Pradesh,5.0,80785,0,0,1,0
Uttar Pradesh,4.0,10000,0,1,0,0
Uttar Pradesh,,90785,0,0,0,0
Uttar Pradesh,3.0,1500,0,1,0,0
Uttar Pradesh,,1500,0,0,0,0
Uttar Pradesh,3.0,1000,0,1,0,0
Uttar Pradesh,,1000,0,0,0,0
Uttar Pradesh,1.0,1850,0,1,0,0
Uttar Pradesh,,1850,0,0,0,0
Uttar Pradesh,1.0,3200,0,0,0,1
Uttar Pradesh,,3200,0,0,0,0
Uttar Pradesh,1.0,1250,0,1,0,0
Uttar Pradesh,,1250,0,0,0,0
Uttar Pradesh,4.0,5000,0,0,1,0
Uttar Pradesh,,5000,0,0,0,0
Uttar Pradesh,2.0,1150,0,1,0,0
Uttar Pradesh,,1150,0,0,0,0
Uttar Pradesh,2.0,20000,0,1,0,0
Uttar Pradesh,,20000,0,0,0,0
Uttar Pradesh,4.0,5500,0,0,0,1
Uttar Pradesh,,5500,0,0,0,0
Uttar Pradesh,3.0,800,0,1,0,0
Uttar Pradesh,,800,0,0,0,0
Uttar Pradesh,3.0,600,0,1,0,0
Uttar Pradesh,,600,0,0,0,0
Uttar Pradesh,3.0,20000,0,1,0,0
Uttar Pradesh,,20000,0,0,0,0
Uttar Pradesh,2.0,10000,0,1,0,0
Uttar Pradesh,,10000,0,0,0,0
Uttar Pradesh,5.0,35268,0,1,0,0
Uttar Pradesh,,35268,0,0,0,0
Uttar Pradesh,2.0,4000,0,1,0,0
Uttar Pradesh,,4000,0,0,0,0
Uttar Pradesh,5.0,35400,0,0,1,0
Uttar Pradesh,,35400,0,0,0,0
Uttar Pradesh,2.0,670,0,1,0,0
Uttar Pradesh,,670,0,0,0,0
Uttar Pradesh,4.0,6000,0,1,0,0
Uttar Pradesh,,6000,0,0,0,0
Uttar Pradesh,2.0,15000,0,1,0,0
Uttar Pradesh,2.0,9000,0,1,0,0
Uttar Pradesh,2.0,3000,0,1,0,0
Uttar Pradesh,,27000,0,0,0,0
Uttar Pradesh,5.0,3200,0,0,1,0
Uttar Pradesh,,3200,0,0,0,0
Uttar Pradesh,5.0,100000,0,0,1,0
Uttar Pradesh,,100000,0,0,0,0
Uttar Pradesh,4.0,20000,0,1,0,0
Uttar Pradesh,,20000,0,0,0,0
Uttar Pradesh,4.0,200,1,0,0,0
Uttar Pradesh,,200,0,0,0,0
Uttar Pradesh,3.0,8500,0,1,0,0
Uttar Pradesh,,8500,0,0,0,0
Uttar Pradesh,5.0,96000,0,0,1,0
Uttar Pradesh,,96000,0,0,0,0
Uttar Pradesh,1.0,1200,0,1,0,0
Uttar Pradesh,,1200,0,0,0,0
Uttar Pradesh,2.0,3000,0,1,0,0
Uttar Pradesh,,3000,0,0,0,0
Uttar Pradesh,2.0,2250,0,1,0,0
Uttar Pradesh,,2250,0,0,0,0
Uttar Pradesh,5.0,2500,0,1,0,0
Uttar Pradesh,,2500,0,0,0,0
Uttar Pradesh,4.0,5500,0,1,0,0
Uttar Pradesh,,5500,0,0,0,0
Uttar Pradesh,1.0,1200,0,1,0,0
Uttar Pradesh,,1200,0,0,0,0
Uttar Pradesh,1.0,600,0,1,0,0
Uttar Pradesh,,600,0,0,0,0
Uttar Pradesh,1.0,600,0,1,0,0
Uttar Pradesh,,600,0,0,0,0
Uttar Pradesh,2.0,400,0,1,0,0
Uttar Pradesh,,400,0,0,0,0
Uttar Pradesh,5.0,35000,0,1,0,0
Uttar Pradesh,,35000,0,0,0,0
Uttar Pradesh,5.0,25000,0,1,0,0
Uttar Pradesh,,25000,0,0,0,0
Uttar Pradesh,5.0,56450,0,1,0,0
Uttar Pradesh,,56450,0,0,0,0
Uttar Pradesh,5.0,10992,0,1,0,0
Uttar Pradesh,,10992,0,0,0,0
Uttar Pradesh,5.0,48000,0,1,0,0
Uttar Pradesh,,48000,0,0,0,0
Uttar Pradesh,5.0,42000,0,1,0,0
Uttar Pradesh,,42000,0,0,0,0
Uttar Pradesh,4.0,12570,0,1,0,0
Uttar Pradesh,,12570,0,0,0,0
Uttar Pradesh,5.0,20000,0,1,0,0
Uttar Pradesh,,20000,0,0,0,0
Uttar Pradesh,5.0,40000,0,1,0,0
Uttar Pradesh,,40000,0,0,0,0
Uttar Pradesh,5.0,25000,0,1,0,0
Uttar Pradesh,,25000,0,0,0,0
Uttar Pradesh,3.0,3000,0,1,0,0
Uttar Pradesh,,3000,0,0,0,0
Uttar Pradesh,1.0,1400,0,0,1,0
Uttar Pradesh,,1400,0,0,0,0
Uttar Pradesh,5.0,100000,0,0,0,1
Uttar Pradesh,,100000,0,0,0,0
Uttar Pradesh,1.0,500,0,0,0,1
Uttar Pradesh,,500,0,0,0,0
Uttar Pradesh,3.0,20000,0,1,0,0
Uttar Pradesh,,20000,0,0,0,0
Uttar Pradesh,1.0,250,0,1,0,0
Uttar Pradesh,,250,0,0,0,0
Uttar Pradesh,1.0,1500,0,0,1,0
Uttar Pradesh,,1500,0,0,0,0
Uttar Pradesh,2.0,250,0,0,1,0
Uttar Pradesh,,250,0,0,0,0
Uttar Pradesh,3.0,12000,0,1,0,0
Uttar Pradesh,3.0,5000,0,1,0,0
Uttar Pradesh,,17000,0,0,0,0
Uttar Pradesh,4.0,25000,0,1,0,0
Uttar Pradesh,,25000,0,0,0,0
Uttar Pradesh,4.0,75000,0,1,0,0
Uttar Pradesh,,75000,0,0,0,0
Uttar Pradesh,2.0,22000,0,0,1,0
Uttar Pradesh,3.0,5000,0,1,0,0
Uttar Pradesh,,27000,0,0,0,0
Uttar Pradesh,3.0,41270,0,1,0,0
Uttar Pradesh,,41270,0,0,0,0
Uttar Pradesh,3.0,18000,0,1,0,0
Uttar Pradesh,,18000,0,0,0,0
Uttar Pradesh,4.0,20000,0,0,1,0
Uttar Pradesh,,20000,0,0,0,0
Uttar Pradesh,5.0,50000,0,0,1,0
Uttar Pradesh,,50000,0,0,0,0
Uttar Pradesh,1.0,9000,0,0,1,0
Uttar Pradesh,,9000,0,0,0,0
Uttar Pradesh,3.0,2800,0,0,1,0
Uttar Pradesh,,2800,0,0,0,0
Uttar Pradesh,2.0,5000,0,0,1,0
Uttar Pradesh,2.0,5000,0,0,1,0
Uttar Pradesh,2.0,18000,0,0,1,0
Uttar Pradesh,2.0,5000,0,0,1,0
Uttar Pradesh,,33000,0,0,0,0
Uttar Pradesh,4.0,5000,0,0,1,0
Uttar Pradesh,,5000,0,0,0,0
Uttar Pradesh,2.0,10000,0,0,1,0
Uttar Pradesh,,10000,0,0,0,0
Uttar Pradesh,5.0,3000,0,0,1,0
Uttar Pradesh,,3000,0,0,0,0
Uttar Pradesh,3.0,30000,0,1,0,0
Uttar Pradesh,3.0,45000,0,0,0,1
Uttar Pradesh,,75000,0,0,0,0
Uttar Pradesh,5.0,80000,0,0,1,0
Uttar Pradesh,,80000,0,0,0,0
Uttar Pradesh,5.0,17000,0,0,1,0
Uttar Pradesh,4.0,5000,0,0,1,0
Uttar Pradesh,,22000,0,0,0,0
Uttar Pradesh,5.0,30000,0,0,1,0
Uttar Pradesh,,30000,0,0,0,0
Uttar Pradesh,2.0,4500,0,0,1,0
Uttar Pradesh,,4500,0,0,0,0
Uttar Pradesh,5.0,24000,0,0,1,0
Uttar Pradesh,,24000,0,0,0,0
Uttar Pradesh,1.0,6000,0,0,1,0
Uttar Pradesh,,6000,0,0,0,0
Uttar Pradesh,5.0,25000,0,0,0,1
Uttar Pradesh,,25000,0,0,0,0
Uttar Pradesh,2.0,2000,0,0,0,1
Uttar Pradesh,2.0,2200,1,0,0,0
Uttar Pradesh,,4200,0,0,0,0
Uttar Pradesh,3.0,2000,0,0,1,0
Uttar Pradesh,,2000,0,0,0,0
Uttar Pradesh,5.0,1500,0,0,1,0
Uttar Pradesh,,1500,0,0,0,0
Uttar Pradesh,2.0,20000,0,0,1,0
Uttar Pradesh,,20000,0,0,0,0
Uttar Pradesh,1.0,5000,0,0,1,0
Uttar Pradesh,,5000,0,0,0,0
Uttar Pradesh,4.0,2000,0,0,0,1
Uttar Pradesh,,2000,0,0,0,0
Uttar Pradesh,4.0,10000,0,0,1,0
Uttar Pradesh,4.0,30000,0,0,1,0
Uttar Pradesh,,40000,0,0,0,0
Uttar Pradesh,5.0,4000,0,0,1,0
Uttar Pradesh,4.0,6000,0,0,1,0
Uttar Pradesh,,10000,0,0,0,0
Uttar Pradesh,5.0,50150,0,0,1,0
Uttar Pradesh,,50150,0,0,0,0
Uttar Pradesh,5.0,50150,0,0,1,0
Uttar Pradesh,,50150,0,0,0,0
Uttar Pradesh,3.0,1740,0,1,0,0
Uttar Pradesh,,1740,0,0,0,0
Uttar Pradesh,5.0,40000,0,1,0,0
Uttar Pradesh,,40000,0,0,0,0
Uttar Pradesh,5.0,17000,0,1,0,0
Uttar Pradesh,,17000,0,0,0,0
